method,case_id,scan_id,agent_group,target_id,score_status,eligible_viewpoint_count,probability_sum,initial_pwgs
GPT-Medium,r47D5H71a5s_case_0007,r47D5H71a5s,single,2,scored,3,1.0,0.20393718929011406
Qwen-Thinking,r47D5H71a5s_case_0007,r47D5H71a5s,single,2,scored,3,1.0,0.21595703019541168
Qwen-Instant,r47D5H71a5s_case_0007,r47D5H71a5s,single,2,scored,3,1.0,0.20307320148665897
Gemma-Instant,r47D5H71a5s_case_0007,r47D5H71a5s,single,2,scored,3,1.0,0.20190194433131814
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,2,scored,1,1.0,0.7085440291489249
Qwen-Thinking,r47D5H71a5s_case_0008,r47D5H71a5s,single,2,scored,1,1.0,0.7085440291489249
Qwen-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,2,scored,1,1.0,0.7085440291489249
Gemma-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,2,scored,1,1.0,0.7085440291489249
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,4,scored,1,1.0,0.3598182453517066
Qwen-Thinking,r47D5H71a5s_case_0008,r47D5H71a5s,single,4,scored,1,1.0,0.3598182453517066
Qwen-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,4,scored,1,1.0,0.3598182453517066
Gemma-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,4,scored,1,1.0,0.3598182453517066
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,7,scored,1,1.0,0.7313495986350429
Qwen-Thinking,r47D5H71a5s_case_0008,r47D5H71a5s,single,7,scored,1,1.0,0.7313495986350429
Qwen-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,7,scored,1,1.0,0.7313495986350429
Gemma-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,7,scored,1,1.0,0.7313495986350429
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,0,scored,1,1.0,0.19344309861118603
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,0,scored,1,1.0,0.19344309861118603
Qwen-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,0,scored,1,1.0,0.19344309861118603
Gemma-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,0,scored,1,1.0,0.19344309861118603
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,scored,1,1.0,0.2539266262998685
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,scored,1,1.0,0.2539266262998685
Qwen-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,scored,1,1.0,0.2539266262998685
Gemma-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,scored,1,1.0,0.2539266262998685
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,5,scored,1,1.0,0.522936843374619
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,5,scored,1,1.0,0.522936843374619
Qwen-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,5,scored,1,1.0,0.522936843374619
Gemma-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,5,scored,1,1.0,0.522936843374619
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,6,scored,1,1.0,0.6807753579055573
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,6,scored,1,1.0,0.6807753579055573
Qwen-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,6,scored,1,1.0,0.6807753579055573
Gemma-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,6,scored,1,1.0,0.6807753579055573
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,0,scored,4,1.0,0.49841099041571635
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,0,scored,4,1.0,0.42158620598058594
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,0,scored,4,1.0,0.3737802927020458
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,0,scored,4,1.0,0.42158620598058594
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,scored,4,1.0000000000000002,0.5309065338783578
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,scored,4,1.0,0.4920733913103448
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,scored,4,1.0000000000000002,0.511327087778972
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,scored,4,1.0,0.4920733913103448
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,2,scored,4,1.0,0.4420662161205745
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,2,scored,4,1.0,0.4335649655309163
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,2,scored,4,1.0000000000000002,0.4338538751604415
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,2,scored,4,1.0,0.4335649655309163
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,3,scored,4,1.0,0.3863131420142941
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,3,scored,4,0.9999999999999999,0.4624632760566808
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,3,scored,4,1.0,0.35795023371795
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,3,scored,4,1.0,0.36642164153566137
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,4,scored,4,1.0,0.5345508796790821
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,4,scored,4,1.0,0.5882392121535029
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,4,scored,4,1.0,0.6014316155933463
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,4,scored,4,1.0,0.6380298961038794
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,5,scored,4,0.9999999999999999,0.7459803678321497
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,5,scored,4,0.9999999999999998,0.7769319948757114
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,5,scored,4,1.0,0.7178182672145371
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,5,scored,4,1.0,0.7017658325479251
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,6,scored,4,1.0000000000000002,0.9664382461936618
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,6,scored,4,0.9999999999999999,0.9969458373231288
