method,case_id,scan_id,agent_group,agent_number,target_number,evaluation_status,pwgs_pair_count,empty_support_count,valid_hypothesis_snapshot_count,invalid_hypothesis_snapshot_count,episode_pwgs,in_common_support,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,evaluable,21,0,22,0,0.3292930554882511,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,evaluable,29,0,19,0,0.6331390947265751,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,evaluable,77,0,29,0,0.5000490026101407,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,evaluable,89,0,29,0,0.5496069785096539,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,evaluable,2,0,3,0,0.5807115518162842,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,evaluable,8,0,9,0,0.42826391855519896,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,evaluable,83,0,29,0,0.4780783060528262,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,evaluable,52,0,29,0,0.532953414126243,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,evaluable,81,0,26,0,0.47816342677805596,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,evaluable,4,0,5,0,0.26153989995452276,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,evaluable,6,0,7,0,0.4807852614294236,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,evaluable,12,0,11,0,0.7128672590896769,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,evaluable,11,0,10,0,0.35976384795091504,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,evaluable,37,0,10,0,0.5714263087965895,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,evaluable,2,0,3,0,0.575641200848001,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,evaluable,4,0,5,0,0.6671042379705234,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,evaluable,3,0,3,0,0.6800516638132802,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,evaluable,15,0,6,0,0.7108273893045243,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,invalid_artifact,25,0,26,1,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,evaluable,6,0,7,0,0.3718923115476603,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,evaluable,116,0,29,0,0.6832716090434602,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,evaluable,69,0,29,0,0.44286498342069436,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,evaluable,34,0,12,0,0.5717277547094147,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,evaluable,12,0,13,0,0.7502746482692308,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,evaluable,16,0,7,0,0.7695135563173401,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,evaluable,116,0,29,0,0.4277450294991426,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,evaluable,84,0,29,0,0.4469081998769151,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,evaluable,15,0,16,0,0.31628269117094665,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,evaluable,3,0,4,0,0.7245631691055024,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,evaluable,60,0,29,0,0.6992763781483086,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,evaluable,14,0,6,0,0.5934914424531555,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,evaluable,32,0,11,0,0.7678184387656628,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,evaluable,5,0,6,0,0.40701853879367833,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,evaluable,3,0,4,0,0.9852676452966459,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,evaluable,14,0,8,0,0.701091834263307,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,evaluable,8,0,6,0,0.6842214963146698,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,evaluable,33,0,8,0,0.6239863075941356,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,evaluable,13,0,6,0,0.6493708303199064,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,evaluable,36,0,29,0,0.7173196876037253,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,evaluable,85,0,29,0,0.5474658030398795,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,evaluable,1,0,2,0,0.9917995805135847,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,evaluable,29,0,29,0,0.7247972339199088,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,evaluable,13,0,9,0,0.7425264527237705,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,evaluable,12,0,7,0,0.4720532366783862,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,evaluable,2,0,3,0,0.9225981281971039,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,evaluable,1,0,2,0,0.5180378680158543,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,evaluable,5,0,5,0,0.5006138741084161,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,evaluable,21,0,12,0,0.7451130024387604,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,evaluable,33,0,12,0,0.7537222387792747,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,evaluable,12,0,8,0,0.7124812750564211,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,evaluable,8,0,5,0,0.87348666196824,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,evaluable,18,0,9,0,0.557138195607251,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,evaluable,3,0,4,0,0.4805139870436419,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,evaluable,2,0,3,0,0.87903278804038,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,evaluable,1,0,2,0,0.8655378140547023,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,evaluable,5,0,6,0,0.7756711172721895,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,evaluable,28,0,26,0,0.7223753560967597,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,evaluable,12,0,8,0,0.6691709919183476,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,evaluable,14,0,5,0,0.7245747948936199,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,evaluable,7,0,8,0,0.9132084346196766,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,evaluable,32,0,18,0,0.6487780962277832,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,evaluable,34,0,27,0,0.6919828669285139,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,evaluable,25,0,9,0,0.6791594997232698,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,evaluable,1,0,2,0,0.8148027357392043,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,evaluable,10,0,9,0,0.8341131089008789,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,evaluable,8,0,6,0,0.8148079749466487,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,evaluable,2,0,3,0,0.6154524442617494,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,1,0,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,evaluable,10,0,6,0,0.7607597890309864,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,evaluable,12,0,7,0,0.6538394391723799,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,evaluable,19,0,6,0,0.690961548052226,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,evaluable,2,0,3,0,0.4360054564629293,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,evaluable,29,0,29,0,0.27020565563911025,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,evaluable,65,0,29,0,0.3307293673662867,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,evaluable,38,0,29,0,0.3778094665274851,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,evaluable,88,0,29,0,0.6887437733575735,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,evaluable,5,0,6,0,0.797208725389627,1,not_estimable_no_ungrounded_predictions,0
