method,case_id,scan_id,agent_group,agent_number,target_number,evaluation_status,pwgs_pair_count,geodesic_ndcg_at_5_pair_count,empty_support_count,valid_hypothesis_snapshot_count,invalid_hypothesis_snapshot_count,episode_pwgs,episode_geodesic_ndcg_at_5,in_common_support,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,evaluable,21,21,0,22,0,0.3292930554882511,0.8891613372638975,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,evaluable,29,29,0,19,0,0.6331390947265751,0.8050599398059228,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,evaluable,77,77,0,29,0,0.5000490026101407,0.9357489775901795,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,evaluable,89,89,0,29,0,0.5496069785096539,0.848578931958572,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,evaluable,2,2,0,3,0,0.5807115518162842,0.9992117180214644,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,evaluable,8,8,0,9,0,0.42826391855519896,0.9201414745992226,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,evaluable,83,83,0,29,0,0.4780783060528262,0.704189805690108,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,evaluable,52,52,0,29,0,0.532953414126243,0.7678132264555882,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,evaluable,81,81,0,26,0,0.47816342677805596,0.7399073506756717,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,evaluable,4,4,0,5,0,0.26153989995452276,0.599372280258313,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,evaluable,6,6,0,7,0,0.4807852614294236,0.8121526899199659,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,evaluable,12,12,0,11,0,0.7128672590896769,0.7569589904682869,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,evaluable,11,11,0,10,0,0.35976384795091504,0.6267449463647106,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,evaluable,37,37,0,10,0,0.5714263087965895,0.7051054160815898,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,evaluable,2,2,0,3,0,0.575641200848001,0.5358053230222344,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,evaluable,4,4,0,5,0,0.6671042379705234,0.7918940636977888,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,evaluable,3,3,0,3,0,0.6800516638132802,0.8822275569718102,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,evaluable,15,15,0,6,0,0.7108273893045243,0.7867159428356804,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,invalid_artifact,25,25,0,26,1,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,evaluable,6,6,0,7,0,0.3718923115476603,0.9650797783157826,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,evaluable,116,116,0,29,0,0.6832716090434602,0.8796631108461207,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,evaluable,69,69,0,29,0,0.44286498342069436,0.8513971585959971,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,evaluable,34,34,0,12,0,0.5717277547094147,0.790264440501131,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,evaluable,12,12,0,13,0,0.7502746482692308,0.9048252959143932,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,evaluable,16,16,0,7,0,0.7695135563173401,0.9375071960147411,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,evaluable,116,116,0,29,0,0.4277450294991426,0.698092836323185,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,evaluable,84,84,0,29,0,0.4469081998769151,0.732791780220826,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,evaluable,15,15,0,16,0,0.31628269117094665,0.8573543395628397,1,not_estimable_no_ungrounded_predictions,0
