method,case_id,scan_id,agent_group,agent_number,target_number,shared_active_target_count,evaluation_status,initial_pwgs
GPT-Medium,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,1,evaluable,0.20393718929011406
Qwen-Thinking,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,1,evaluable,0.21595703019541168
Qwen-Instant,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,1,evaluable,0.20307320148665897
Gemma-Instant,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,1,evaluable,0.20190194433131814
GPT-Medium,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,3,evaluable,0.5999039577118914
Qwen-Thinking,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,3,evaluable,0.5999039577118914
Qwen-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,3,evaluable,0.5999039577118914
Gemma-Instant,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,3,evaluable,0.5999039577118914
GPT-Medium,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,4,evaluable,0.4127704815478077
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,4,evaluable,0.4127704815478077
Qwen-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,4,evaluable,0.4127704815478077
Gemma-Instant,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,4,evaluable,0.4127704815478077
GPT-Medium,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,7,evaluable,0.5863809108762624
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,7,evaluable,0.5959721261758387
Qwen-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,7,evaluable,0.5502252534543711
Gemma-Instant,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,7,evaluable,0.568918950110294
GPT-Medium,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,1,evaluable,0.5435084361694397
Qwen-Thinking,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,1,evaluable,0.5162845084588795
Qwen-Instant,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,1,evaluable,0.4799034414274945
Gemma-Instant,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,1,evaluable,0.546602064318367
